학생,프로그래밍,연구경험,수학,글쓰기,코디네이터,보기,쓰기,댓글,출석,성적이진화
1,2,1,3,2,2,848,13,3,13,1
2,2,3,2,1,1,532,9,8,14,1
3,1,3,1,2,2,581,15,11,14,1
4,1.5,1,2,2,2,355,1,0,12,0
5,3,3,3,2,2,496,10,4,14,0
6,1,3,2,1,2,367,11,1,14,0
7,2,2,2,2,2,332,7,0,14,0
8,1,2,3,3,2,261,6,1,14,0
9,2,3,2,3,2,242,11,5,14,0
10,2,3,2,1,2,688,11,5,14,1
11,2,1,3,2,2,492,13,2,14,1
12,2,2,1,2,2,104,0,0,13,0
13,2,1,2,1,2,728,11,9,14,1
14,2,1,3,3,3,442,12,17,14,1
15,1,1,2,3,2,381,4,3,14,0
16,1,3,1,1,3,217,10,0,14,0
17,2,1,2,3,1,657,13,2,14,1
18,2,3,1,1,2,247,13,0,14,0
19,1,1,3,3,2,464,10,4,14,1
20,3,1,2,3,2,1289,14,1,14,1
21,2,2,3,3,2,343,10,1,14,1
22,2,1,2,3,2,530,10,5,14,1
23,1,2,1,2,2,387,8,5,14,1
24,2,1,1,3,2,363,6,0,14,0
25,3,3,3,2,2,276,6,1,9,0
26,2,3,1,3,2,283,8,2,14,1
27,1,3,2,1,2,418,8,1,14,1
28,1,3,1,2,2,298,9,2,14,1
29,2,2,3,1,1,690,13,6,14,0
30,2,1,2,3,2,449,7,0,14,0
31,2,1,3,1,2,709,14,13,14,1
32,1,3,1,3,2,194,10,5,14,1
33,1.5,3,1,3,2,1280,17,22,14,1
34,1,2,2,1,2,231,9,1,14,0
35,2,1,3,3,2,972,11,2,14,1
36,1,3,2,1,2,156,1,0,10,0
37,1,3,1,2,2,217,9,0,14,1
38,1,2,3,2,2,758,10,1,14,1
39,3,1,3,3,3,1087,14,18,14,1
40,2,2,2,1,2,472,8,3,14,1